,selected_features
0,Q1_feat2
1,Q1_feat4
2,Q1_feat5
3,Q2_feat2
4,Q2_feat5
5,Q5_feat2
6,Q5_feat4
7,Q6_feat2
8,Q9_feat3
9,Q9_feat4
10,Q10_feat3
11,Q10_feat4
12,Q10_feat6
13,Q10_feat7
14,Q12_feat2
15,Q12_feat3
16,Q12_feat5
17,Q13_feat1
18,Q13_feat2
19,Q13_feat4
20,Smart_Watch_Q1_feat1
21,Smart_Watch_Q1_feat7
22,Smart_Watch_Q2_feat1
23,Smart_Watch_Q2_feat3
24,Smart_Watch_Q2_feat5
25,Smart_Watch_Q3_feat1
26,Smart_Watch_Q3_feat2
27,Smart_Watch_Q3_feat3
28,Smart_Watch_Q3_feat6
29,Smart_Watch_Q4_feat1
30,Smart_Watch_Q5_feat1
31,Smart_Watch_Q5_feat2
32,Smart_Watch_Q5_feat3
33,Smart_Watch_Q5_feat6
34,Smart_Watch_Q6_feat1
35,Smart_Watch_Q6_feat3
36,Smart_Watch_Q6_feat4
37,Smart_Watch_Q9_feat2
38,Smart_Watch_Q9_feat3
39,Smart_Watch_Q9_feat6
40,Smart_Watch_Q10_feat1
41,Smart_Watch_Q10_feat2
42,Smart_Watch_Q10_feat7
43,Smart_Watch_Q12_feat1
44,Smart_Watch_Q12_feat2
45,Smart_Watch_Q12_feat5
46,Smart_Watch_Q13_feat1
47,Smart_Watch_Q13_feat4
