,features,Importance
57,Smart_Watch_Q1_feat2,198.0
92,Smart_Watch_Q9_feat3,190.0
73,Smart_Watch_Q5_feat1,189.0
102,Smart_Watch_Q11_feat2,188.0
97,Smart_Watch_Q10_feat3,186.0
71,Smart_Watch_Q4_feat1,169.0
68,Smart_Watch_Q3_feat3,164.0
78,Smart_Watch_Q6_feat1,155.0
85,Smart_Watch_Q7_feat5,153.0
96,Smart_Watch_Q10_feat2,151.0
111,Smart_Watch_Q13_feat4,147.0
65,Smart_Watch_Q2_feat5,142.0
89,Smart_Watch_Q8_feat5,133.0
67,Smart_Watch_Q3_feat2,126.0
105,Smart_Watch_Q12_feat1,114.0
95,Smart_Watch_Q10_feat1,104.0
108,Smart_Watch_Q12_feat5,93.0
101,Smart_Watch_Q11_feat1,77.0
87,Smart_Watch_Q8_feat2,75.0
56,Smart_Watch_Q1_feat1,73.0
98,Smart_Watch_Q10_feat4,59.0
62,Smart_Watch_Q2_feat1,55.0
66,Smart_Watch_Q3_feat1,55.0
60,Smart_Watch_Q1_feat5,55.0
109,Smart_Watch_Q13_feat1,55.0
72,Smart_Watch_Q4_feat3,47.0
90,Smart_Watch_Q9_feat1,41.0
110,Smart_Watch_Q13_feat2,39.0
81,Smart_Watch_Q6_feat4,35.0
82,Smart_Watch_Q7_feat1,35.0
91,Smart_Watch_Q9_feat2,34.0
84,Smart_Watch_Q7_feat3,34.0
88,Smart_Watch_Q8_feat3,33.0
107,Smart_Watch_Q12_feat3,30.0
83,Smart_Watch_Q7_feat2,29.0
80,Smart_Watch_Q6_feat3,28.0
74,Smart_Watch_Q5_feat2,27.0
64,Smart_Watch_Q2_feat3,26.0
79,Smart_Watch_Q6_feat2,24.0
54,Q13_feat2,23.728395061728396
69,Smart_Watch_Q3_feat4,23.0
106,Smart_Watch_Q12_feat2,22.0
104,Smart_Watch_Q11_feat5,20.0
93,Smart_Watch_Q9_feat4,18.0
24,Q6_feat3,16.643564356435643
55,Q13_feat4,16.625954198473284
103,Smart_Watch_Q11_feat3,16.0
86,Smart_Watch_Q8_feat1,15.0
58,Smart_Watch_Q1_feat3,15.0
94,Smart_Watch_Q9_feat6,13.0
70,Smart_Watch_Q3_feat6,13.0
75,Smart_Watch_Q5_feat3,13.0
59,Smart_Watch_Q1_feat4,13.0
53,Q13_feat1,12.409395973154362
63,Smart_Watch_Q2_feat2,12.0
27,Q7_feat2,9.96923076923077
22,Q6_feat1,9.013333333333334
112,location_1,8.257142857142858
61,Smart_Watch_Q1_feat7,8.0
10,Q3_feat1,6.64367816091954
50,Q12_feat2,6.260869565217392
76,Smart_Watch_Q5_feat4,6.0
77,Smart_Watch_Q5_feat6,6.0
100,Smart_Watch_Q10_feat7,5.0
26,Q7_feat1,4.827814569536423
31,Q8_feat2,4.1965065502183405
33,Q8_feat5,4.06280193236715
114,location_3,3.9302325581395348
29,Q7_feat5,3.8135593220338984
38,Q9_feat6,3.595744680851064
48,Q11_feat5,3.27027027027027
36,Q9_feat3,3.1933701657458564
44,Q10_feat7,3.125
3,Q1_feat4,3.0821917808219177
40,Q10_feat2,2.927710843373494
5,Q1_feat7,2.7777777777777777
45,Q11_feat1,2.7412587412587412
0,Q1_feat1,2.739130434782609
47,Q11_feat3,2.5714285714285716
35,Q9_feat2,2.5316455696202533
21,Q5_feat6,2.4615384615384617
19,Q5_feat3,2.2830188679245285
43,Q10_feat6,2.130434782608696
23,Q6_feat2,2.0642201834862384
14,Q3_feat6,1.975609756097561
11,Q3_feat2,1.945945945945946
7,Q2_feat2,1.8518518518518519
41,Q10_feat3,1.8469945355191257
30,Q8_feat1,1.8461538461538463
12,Q3_feat3,1.7692307692307692
52,Q12_feat5,1.663594470046083
32,Q8_feat3,1.6065573770491803
116,Relationship_2,1.3975155279503106
8,Q2_feat3,1.0
99,Smart_Watch_Q10_feat6,1.0
51,Q12_feat3,0.9803921568627451
1,Q1_feat2,0.9185750636132316
28,Q7_feat3,0.8620689655172413
39,Q10_feat1,0.7168141592920354
2,Q1_feat3,0.6901408450704225
117,Relationship_3,0.6090225563909775
113,location_2,0.41025641025641024
25,Q6_feat4,0.3968253968253968
42,Q10_feat4,0.3829787234042553
16,Q4_feat3,0.3516483516483517
49,Q12_feat1,0.32989690721649484
4,Q1_feat5,0.31210191082802546
46,Q11_feat2,0.29584352078239606
37,Q9_feat4,0.26666666666666666
15,Q4_feat1,0.22377622377622378
115,Relationship_1,0.20689655172413793
9,Q2_feat5,0.1782178217821782
20,Q5_feat4,0.14285714285714285
18,Q5_feat2,0.13846153846153847
13,Q3_feat4,0.11392405063291139
34,Q9_feat1,0.058823529411764705
17,Q5_feat1,0.041237113402061855
6,Q2_feat1,0.004975124378109453
